date,shop,items,cost,method,category,notes
17-Aug,Sainsbury's,Food,£11.61,cash,food,
17-Aug,Waitrose,Food,£1.42,cash,food,
17-Aug,Welsh Back,Squash,£5.00,cash,sport,
17-Aug,Welsh Back,Racquet hire,£2.00,cash,sport,
18-Aug,Undercover Rock,Climbing,£7.50,cash,sport,
18-Aug,eBay,Silicone bakeware x2,£8.79,Barclays via PayPal,living,
20-Aug,Watershed,The Illusionist,£4.50,cash,entertainment,Loyalty card ~£1.60
21-Aug,TCA,Joining + climbing,£11.50,cash,sport,
21-Aug,Rise,Books,£4.00,cash,education
21-Aug,Guild,Card + choc,£3.45,cash,gift
21-Aug,Sainsbury's,Food,£8.82,cash,food
22-Aug,Amazon.co.uk,Pentax Optio H90,£92.39,Halifax debit,tech
23-Aug,Sainsbury's,Food,£14.87,cash,food
23-Aug,Waitrose,Food,£3.01,cash,food
25-Aug,St. George's,John Williams ticket,£12.00,Halifax debit,entertainment
27-Aug,Sainsbury's,Food,£14.39,cash,food
28-Aug,Stanford's Travel shop,Map,£6.99,cash,education
28-Aug,Sandwich shop,Lunch,£2.80,cash,food
28-Aug,Vodafone,Top-up,£15.00,Halifax debit,comms
29-Aug,Welsh Back,Restringing,£22.00,Halifax debit,sport
29-Aug,eBay,Cycling glasses,£7.65,Barclays via PayPal,sport
31-Aug,Sainsbury's,Food,£13.55,cash,food
31-Aug,Showcase,Scott Pilgrim,£6.30,cash,entertainment
31-Aug,Tesco,Food,£6.23,cash,food
01-Sep,Boulangerie,Cake,£0.95,cash,food,
01-Sep,Waitrose,Food,£3.05,cash,food,
02-Sep,Specsavers,Eye Test,£5.00,cash,health,
03-Sep,Sainsbury's,Food,£5.30,cash,food,
03-Sep,Corner shop,Cookies,£0.69,cash,food,
05-Sep,Sainsbury's,Food,£20.68,cash,food,
05-Sep,Amazon.co.uk,DVDs for Kate,£17.83,Halifax debit,gift,
06-Sep,Watershed,Tale of Cinema,£7.00,cash,entertainment,Loyalty card £3.10
06-Sep,Watershed,Soup,£3.50,cash,food,
06-Sep,Watershed,OJ,£1.55,cash,social,
07-Sep,Sainsbury's,Lunch + paper,£3.60,cash,food,
07-Sep,Folk House,Italian course,£45.00,Halifax debit,education,
07-Sep,Colston Hall,I'm Sorry I Haven't A Clue,£20.50,cash,entertainment,
07-Sep,Sainsbury's,Food,£4.18,cash,food,
10-Sep,Sainsbury's,Food,£15.50,cash,food,
10-Sep,Boots,Lunch,£2.99,cash,food,
11-Sep,YHA,Panini,£3.95,cash,food,,,,,
11-Sep,eBay,Animation armature,£21.98,Barclays via PayPal,entertainment,,,,,
11-Sep,eBay,Bike bits,£8.62,Barclays via PayPal,sport,,,,,
12-Sep,The Barge Inn,Lunch,£7.35,cash,food,,,,,
15-Sep,Sainsbury's,Food,£21.58,cash,food,,,,,
17-Sep,Waitrose,Food,£2.09,cash,food,,,,,
18-Sep,Sainsbury's,Food,£3.51,cash,food,,,,,
19-Sep,National Rail,Newport-Bristol,£9.10,cash,travel,,,,,
20-Sep,Sainsbury's,Food,£4.55,cash,food,,,,,
22-Sep,Clifton Hardware,Screws,£0.10,cash,living,,,,,
22-Sep,Post Office,Chocolate raisins,£1.00,cash,food,,,,,
22-Sep,Marcruss,Sleeping bag,£20.00,cash,living,,,,,
23-Sep,Sainsbury's,Food,£18.73,cash,food,,,,,
24-Sep,Lido,House meal,£25.00,cash,food,,,,,
25-Sep,Waitrose,Food,£2.90,cash,food,,,,,
25-Sep,Sainsbury's,Food,£0.56,cash,food,,,,,
25-Sep,Waitrose,Food,£1.99,cash,food,,,,,
27-Sep,Sainsbury's,Food,£12.91,Halifax debit,food,,,,,
27-Sep,Sainsbury's,Food,£3.76,cash,food,,,,,
28-Sep,SS Great Britain,Museum visit,£5.00,cash,entertainment,,,,,
28-Sep,Mud Dock,Lunch for 2,£14.00,cash,food,,,,,
28-Sep,Superdrug,Toothbrushes,£4.48,cash,health,,,,,
28-Sep,The Eldon House,2 drinks,£4.00,cash,entertainment,,,,,
29-Sep,Caffe Gusto,Lunch for 2,£8.35,cash,food,,,,,
29-Sep,Watershed,Winter's Bone,£4.00,cash,entertainment,Loyalty card £5.35,,,,
29-Sep,Tesco,Milk,£0.86,cash,food,,,,,
29-Sep,The Clifton,Drinks,£3.95,cash,entertainment,,,,,
